date2,unixtime,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,label,confirmed,deaths,recovered
Mon Mar  9 13:50:22 PDT 2020,1583787022,THA,Thailand,15.87,100.993,Thailand,,True,True,True,,,,,,,Thailand,Thailand,,,top,,,,,,Thailand,50,1,31
Mon Mar  9 13:50:22 PDT 2020,1583787022,EGY,Egypt,26.821,30.802,Egypt,,True,True,True,,"via Declan Walsh, NYT",48,1,,,Egypt,Egypt,True,True,,,,,,,Egypt,55,1,12
Mon Mar  9 13:50:22 PDT 2020,1583787022,ISL,Iceland,64.963,-19.021,Iceland,,True,True,True,,,,,,,Iceland,Iceland,True,True,top,,,,,,Iceland,58,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,IRQ,Iraq,33.223,43.679,Iraq,,True,True,True,,"via Alissa Rubin, NYT",62,,0001-03-08,,Iraq,Iraq,,,,,,,,,Iraq,62,6,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,KWT,Kuwait,29.312,47.482,Kuwait,,True,True,True,,,,,,,Kuwait,Kuwait,,,,,,,,,Kuwait,64,0,1
Mon Mar  9 13:50:22 PDT 2020,1583787022,CAN,Canada,56.13,-106.347,Canada,,True,True,True,,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection.html,62,,0001-03-08,,Canada,Canada,True,True,,,,,,,Canada,66,1,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,GRC,Greece,39.074,21.824,Greece,,True,True,True,,,,,,,Greece,Greece,,,,,,,,,Greece,73,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,43.61,113.35,Mainland China,Inner Mongolia,True,,,,,,,,,,,,,,,,,,,Inner Mongolia (Mainland China),75,1,70
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,37.3,104.85,Mainland China,Ningxia,True,,,,,,,,,,,,,,,,,,,Ningxia (Mainland China),75,0,71
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,40.06,87.7,Mainland China,Xinjiang,True,,,,,,,,,,,,,,,,,,,Xinjiang (Mainland China),76,3,73
